dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,acquisition,n_seeds,mean_response_l2_excess,median_response_l2_excess,mean_final_simple_regret_excess_true,median_final_simple_regret_excess_true,mean_auc_simple_regret_excess_true,median_auc_simple_regret_excess_true,std_auc_simple_regret_excess_true,ci95_low_auc_simple_regret_excess_true,ci95_high_auc_simple_regret_excess_true,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_final_inference_simple_regret_excess_true,acq_opt_failures
stevens,value,exact,slip,0,0.05,pi,5,0.0,0.0,0.026123891780152498,0.0166206804188902,7.039082938584703,2.713858855739014,9.138112950917101,1.0619855231399176,15.278338687258014,0.14365475384866738,21.334323836122262,0.0464904736303193,0
stevens,value,exact,slip,0,0.05,qnei,5,0.0,0.0,0.05970137458860243,0.0617447043726491,2.4860574083873717,1.7372584535253637,2.967816260102105,0.3070148928303006,4.979942243756254,0.05073586547729329,13.934052842868216,0.01779232416358738,0
stevens,value,exact,slip,0,0.05,qucb,5,0.0,0.0,0.0035498547518409604,0.0,1.5377547358406776,1.3576407035450782,0.6999563065278285,1.042767280757157,2.1509693072682388,0.03138274971103423,12.648791571827418,0.0,0
stevens,value,exact,slip,0,0.05,random,5,0.0,0.0,-0.11532916445707833,-0.0839781420806407,-1.3889144811592609,-0.601833752498635,4.559787294114545,-5.333637133758594,1.9285314197169428,-0.02834519349304616,60.996120648621606,0.0,0
stevens,value,exact,slip,0,0.05,sobol,5,0.0,0.0,0.020662916922771668,0.03624753138110437,0.579226098397335,0.5490812660000515,2.5925236278263557,-1.422344841442829,2.625547103147055,0.011820940783619015,55.475682632758364,0.04962347244120293,0
stevens,value,exact,slip,0,0.05,ucb,5,0.0,0.0,0.0,0.0,2.2352346407697357,0.47407443043456254,4.135456324797651,0.21885335715027096,5.958475884810616,0.04561703348509664,13.345088892975383,0.0,0
stevens,value,exact,slip,0,0.15,ei,5,0.0,0.0,0.015208615772684961,0.000763217391186,1.8594291070317923,2.551346405169628,3.8539411791586695,-1.5237008125935816,4.143217776503878,0.037947532796567186,13.357494114258134,0.08103410613109183,0
stevens,value,exact,slip,0,0.15,logei,5,0.0,0.0,0.11092206559476683,0.0,19.374551582855865,8.939618532354409,27.39610691753234,2.9151441090358228,43.628530003760055,0.3953990118950176,30.871508614044853,0.27492569316576265,0
stevens,value,exact,slip,0,0.15,pi,5,0.0,0.0,0.49126738581106133,0.5193007727074148,22.735791367182966,25.334422384516138,16.753103877132666,9.586144346624286,35.885438387741644,0.4639957421874075,37.03103226472052,0.9383264110190155,0
stevens,value,exact,slip,0,0.15,qnei,5,0.0,0.0,0.08918362841132108,0.0,9.812448179037656,6.0506738580881,8.787158771169155,4.3914231596933675,17.29804263912905,0.20025404447015624,21.2604436135185,0.14823788576158697,0
