dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_x0,delta_excess_x1,delta_excess_x2,delta_excess_x3,delta_excess_x4,delta_excess_x5,delta_excess_x6,delta_excess_x7,delta_excess_x8,delta_excess_x9,delta_excess_x10,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true
iso_levy_10,composite,qnei,gradient_boosting,gaussian,0.948321,0,9,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3224882642345208,12.627525174131591,0.25255050348263186,7.865907216381629
iso_levy_10,composite,qnei,gradient_boosting,gaussian,4.741603,0,9,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5011443334890657,85.67492326409527,1.7134984652819054,40.47009892536337
iso_levy_10,composite,ucb,gradient_boosting,gaussian,0.23708,0,9,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013465276307287333,-4.765701912623911,-0.0953140382524782,-1.6779837512625235
iso_levy_10,composite,ucb,gradient_boosting,gaussian,0.948321,0,9,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4434185264307362,29.680894480405527,0.5936178896081108,-3.5393714743720324
iso_levy_10,composite,ucb,gradient_boosting,gaussian,4.741603,0,9,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9415192339296286,58.85608948419264,1.177121789683853,15.725891831567658
iso_levy_10,composite,ei,gradient_boosting,gaussian,0.23708,0,9,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08892860215595544,3.0413577176953197,0.06082715435390629,0.371560525101458
iso_levy_10,composite,ei,gradient_boosting,gaussian,0.948321,0,9,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20872170128079115,15.195864205606853,0.30391728411213714,1.6937419489092633
iso_levy_10,composite,ei,gradient_boosting,gaussian,4.741603,0,9,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2010755603671499,18.19863639993949,0.36397272799878966,8.625618869774918
iso_levy_10,composite,random,gradient_boosting,gaussian,0.23708,0,9,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_levy_10,composite,random,gradient_boosting,gaussian,0.948321,0,9,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
