dataset,acquisition,seed,error_model,jitter_std,jitter_iteration,variant,budget,k,tolerance,extra,censored,multiplier
branin,qnei,8,gaussian,0.25,0,rep10,50,25,0.01,17.0,False,1.68
branin,qnei,8,gaussian,1.0,0,rep10,50,10,0.01,24.0,False,3.4
branin,qnei,8,gaussian,1.0,0,rep10,50,25,0.01,34.0,True,2.36
branin,qnei,8,gaussian,5.0,0,rep10,50,10,0.01,41.0,True,5.1
branin,qnei,8,gaussian,5.0,0,rep10,50,25,0.01,34.0,True,2.36
branin,qnei,8,gaussian,0.05,20,rep10,50,10,0.01,7.0,False,1.7
branin,qnei,8,gaussian,0.05,20,rep10,50,25,0.01,20.0,False,1.8
branin,qnei,8,gaussian,0.25,20,rep10,50,10,0.01,7.0,False,1.7
branin,qnei,8,gaussian,0.25,20,rep10,50,25,0.01,30.0,False,2.2
branin,qnei,8,gaussian,1.0,20,rep10,50,10,0.01,7.0,False,1.7
branin,qnei,8,gaussian,1.0,20,rep10,50,25,0.01,12.0,False,1.48
branin,qnei,8,gaussian,5.0,20,rep10,50,10,0.01,7.0,False,1.7
branin,qnei,8,gaussian,5.0,20,rep10,50,25,0.01,34.0,True,2.36
branin,qnei,9,gaussian,0.05,0,rep10,50,10,0.01,2.0,False,1.2
branin,qnei,9,gaussian,0.05,0,rep10,50,25,0.01,6.0,False,1.24
branin,qnei,9,gaussian,0.25,0,rep10,50,10,0.01,2.0,False,1.2
branin,qnei,9,gaussian,0.25,0,rep10,50,25,0.01,11.0,False,1.44
branin,qnei,9,gaussian,1.0,0,rep10,50,10,0.01,-2.0,False,0.8
branin,qnei,9,gaussian,1.0,0,rep10,50,25,0.01,-2.0,False,0.92
branin,qnei,9,gaussian,5.0,0,rep10,50,10,0.01,31.0,False,4.1
branin,qnei,9,gaussian,5.0,0,rep10,50,25,0.01,34.0,True,2.36
branin,qnei,9,gaussian,0.05,20,rep10,50,10,0.01,2.0,False,1.2
branin,qnei,9,gaussian,0.05,20,rep10,50,25,0.01,6.0,False,1.24
branin,qnei,9,gaussian,0.25,20,rep10,50,10,0.01,2.0,False,1.2
branin,qnei,9,gaussian,0.25,20,rep10,50,25,0.01,6.0,False,1.24
branin,qnei,9,gaussian,1.0,20,rep10,50,10,0.01,2.0,False,1.2
branin,qnei,9,gaussian,1.0,20,rep10,50,25,0.01,6.0,False,1.24
branin,qnei,9,gaussian,5.0,20,rep10,50,10,0.01,2.0,False,1.2
branin,qnei,9,gaussian,5.0,20,rep10,50,25,0.01,34.0,True,2.36
eggholder,logei,10,gaussian,0.05,0,rep10,50,10,0.01,0.0,False,1.0
eggholder,logei,10,gaussian,0.05,0,rep10,50,25,0.01,0.0,False,1.0
eggholder,logei,10,gaussian,0.25,0,rep10,50,10,0.01,0.0,False,1.0
eggholder,logei,10,gaussian,0.25,0,rep10,50,25,0.01,0.0,False,1.0
eggholder,logei,10,gaussian,1.0,0,rep10,50,10,0.01,0.0,False,1.0
eggholder,logei,10,gaussian,1.0,0,rep10,50,25,0.01,0.0,False,1.0
